state,times
1000101010,2.741270178335135e-12
1000101011,2.002048408305228e-14
1000101100,3.4022780420764156e-09
1000101101,9.801868349688474e-14
1000101110,8.399164501455412e-09
1000101111,6.134212546479172e-11
1000110000,3.2092767102541932e-06
1000110001,9.245836884170325e-11
1000110010,5.128108550736167e-09
1000110011,3.745242494796007e-11
1000110100,1.0474249597469918e-09
1000110101,3.017602157921218e-14
1000110110,2.585765898919942e-09
1000110111,1.8884780285782216e-11
1000111000,1.483828650603224e-06
1000111001,4.274869045632819e-11
1000111010,2.3710122491690685e-09
1000111011,1.7316356983112366e-11
1000111100,2.942739091022907e-06
1000111101,8.477949421230938e-11
1000111110,7.264706001300302e-06
1000111111,5.305676617232213e-08
1001000000,1.9432995194070257e-06
1001000001,5.5985918310237644e-11
1001000010,3.1052015085739802e-09
1001000011,2.267840575088143e-11
1001000100,6.342427296429777e-10
1001000101,1.8272356523552745e-14
1001000110,1.5657477002885797e-09
1001000111,1.1435219760330715e-11
1001001000,6.916890549694364e-10
1001001001,1.992736916819738e-14
1001001010,1.1052510822472646e-12
1001001011,8.072046992955117e-15
1001001100,1.371762447142245e-09
1001001101,3.952009432400405e-14
1001001110,3.3864541075058816e-09
1001001111,2.4732494846051533e-11
1001010000,2.246765710295418e-09
1001010001,6.472869481140237e-14
1001010010,3.5901106357245734e-12
1001010011,2.621987187070086e-14
1001010100,7.332862498730147e-13
1001010101,2.112577277636447e-17
1001010110,1.8102552945907805e-12
1001010111,1.3220946843563928e-14
1001011000,1.0388058223453067e-09
1001011001,2.9927706629480314e-14
1001011010,1.6599095375922087e-12
1001011011,1.2122917594665733e-14
1001011100,2.0601667855348306e-09
1001011101,5.935283172179891e-14
1001011110,5.0859099456731045e-09
1001011111,3.71442333265471e-11
1001100000,2.3069617962938412e-06
1001100001,6.646292729571451e-11
1001100010,3.6862980608671434e-09
1001100011,2.6922363303058022e-11
1001100100,7.529326962988921e-10
1001100101,2.169178143004914e-14
1001100110,1.8587562499387052e-09
1001100111,1.3575166800513125e-11
1001101000,8.211293260732082e-10
1001101001,2.365650735389613e-14
1001101010,1.3120839050250439e-12
1001101011,9.582621641525588e-15
1001101100,1.6284692748307523e-09
1001101101,4.691574658507931e-14
1001101110,4.020183287701473e-09
1001101111,2.9360847448923094e-11
1001110000,1.5360909521343244e-06
1001110001,4.425435281820539e-11
1001110010,2.4545222670202753e-09
1001110011,1.792626074100497e-11
1001110100,5.013403794587654e-10
1001110101,1.4443476803085202e-14
1001110110,1.2376532035948378e-09
1001110111,9.039027403697166e-12
1001111000,7.102210156657898e-07
1001111001,2.046126979818938e-11
1001111010,1.1348633328223627e-09
1001111011,8.288315931342715e-12
1001111100,1.4085151578762564e-06
1001111101,4.057892969152478e-11
1001111110,3.477185099950277e-06
1001111111,2.5395135983881943e-08
1010000000,5.260339506939122e-07
1010000001,1.5154891717848723e-11
1010000010,8.405505177885757e-10
1010000011,6.1388433709981394e-12
1010000100,1.7168388374571844e-10
1010000101,4.946164909002333e-15
1010000110,4.2383402061666314e-10
1010000111,3.0954126049572396e-12
1010001000,1.8723409469495277e-10
1010001001,5.394162158637041e-15
1010001010,2.991816688559969e-13
1010001011,2.1850315545731005e-15
1010001100,3.7132393245482266e-10
1010001101,1.0697739150059275e-14
1010001110,9.16683102746053e-10
1010001111,6.694867077595529e-12
1010010000,6.081795580492641e-10
1010010001,1.7521483803635338e-14
1010010010,9.718111193248733e-13
1010010011,7.097486851147668e-15
1010010100,1.9849408655641866e-13
1010010101,5.718559390373263e-18
1010010110,4.900200586005027e-13
1010010111,3.578793094209312e-15
1010011000,2.8119552610133995e-10
1010011001,8.10116484684651e-15
1010011010,4.493227951399746e-13
1010011011,3.281566311612447e-15
1010011100,5.576688834945777e-10
1010011101,1.6066285327449552e-14
1010011110,1.3767107308358915e-09
1010011111,1.005461464232862e-11
1010100000,7.694043384788861e-10
1010100001,2.2166324856996533e-14
1010100010,1.2294324620000028e-12
1010100011,8.978988365024137e-15
1010100100,2.511136872945361e-13
1010100101,7.234515442963907e-18
1010100110,6.199214591135028e-13
1010100111,4.527509839421274e-15
1010101000,2.7385822641186886e-13
1010101001,7.88977928485255e-18
1010101010,4.375985118593628e-16
1010101011,3.19593964531017e-18
1010101100,5.431175007523864e-13
1010101101,1.5647064040473713e-17
1010101110,1.3407879003488477e-12
1010101111,9.792257264472184e-15
1010110000,5.123080255464166e-10
1010110001,1.4759451634441203e-14
1010110010,8.186178393471269e-13
1010110011,5.978661115667725e-15
1010110100,1.6720409658708263e-13
1010110101,4.8171034877412604e-18
1010110110,4.1277482180587864e-13
1010110111,3.014643290238656e-15
1010111000,2.368687386197782e-10
1010111001,6.824122436186509e-15
1010111010,3.7849294828240765e-13
1010111011,2.7642704124981957e-15
1010111100,4.697596965083122e-10
1010111101,1.3533646116570598e-14
1010111110,1.1596903363956354e-09
1010111111,8.469636486243456e-12
1011000000,1.0990159823670064e-06
1011000001,3.166234458248606e-11
1011000010,1.7561194516397956e-09
1011000011,1.2825573271601361e-11
1011000100,3.5869040753450257e-10
1011000101,1.03337708131684e-14
1011000110,8.854948657099505e-10
1011000111,6.467088142087985e-12
1011001000,3.9117867248364283e-10
1011001001,1.1269748684474077e-14
1011001010,6.250650462203695e-13
1011001011,4.565075309843218e-15
1011001100,7.757882088501853e-10
1011001101,2.2350242385684934e-14
1011001110,1.9151793897612926e-09
1011001111,1.3987245325884886e-11
1011010000,1.270638622399432e-09
1011010001,3.6606745077153285e-14
1011010010,2.0303555513310827e-12
1011010011,1.4828418344027693e-14
1011010100,4.147036008665907e-13
1011010101,1.1947495323913267e-17
1011010110,1.023773989058995e-12
1011010111,7.47699041655454e-15
1011011000,5.874875128265132e-10
1011011001,1.6925351739615595e-14
1011011010,9.387472661208277e-13
1011011011,6.8560096147820086e-15
1011011100,1.1651092387113434e-09
1011011101,3.356647290320974e-14
1011011110,2.876291718982989e-09
1011011111,2.1006595056999144e-11
1011100000,1.304681990355594e-06
1011100001,3.758752503328719e-11
1011100010,2.084753505161004e-09
1011100011,1.5225706206205507e-11
1011100100,4.258144761604544e-10
1011100101,1.2267596548837825e-14
1011100110,1.0512032785509748e-09
1011100111,7.67731640339949e-12
1011101000,4.64382481409799e-10
1011101001,1.3378730046126758e-14
1011101010,7.420375332923691e-13
1011101011,5.419367540535448e-15
1011101100,9.209665015399762e-10
1011101101,2.6532788593194173e-14
1011101110,2.2735793639144345e-09
1011101111,1.6604769506685316e-11
1011110000,8.687227521571679e-07
1011110001,2.5027660713546007e-11
1011110010,1.3881335190954532e-09
1011110011,1.0138039381831502e-11
1011110100,2.8352865017907673e-10
1011110101,8.168381502189312e-15
1011110110,6.999439035488984e-10
1011110111,5.111942591715237e-12
1011111000,4.016592601575923e-07
1011111001,1.157169149848561e-11
1011111010,6.418119945579163e-10
1011111011,4.687384309255744e-12
1011111100,7.965733817422748e-07
1011111101,2.294905743193976e-11
1011111110,1.96649150598249e-06
1011111111,1.4361996203851289e-08
1100000000,0.0004091531648535832
1100000001,1.1787588807132337e-08
1100000010,6.537865172368504e-07
1100000011,4.774838564071785e-09
1100000100,1.3353701656756638e-07
1100000101,3.847164282336615e-12
1100000110,3.2966129026305357e-07
1100000111,2.4076352147522826e-09
1100001000,1.4563208764734582e-07
1100001001,4.195619913939756e-12
1100001010,2.3270575314983093e-10
1100001011,1.6995339838411612e-12
1100001100,2.888185485924515e-07
1100001101,8.320782003235611e-12
1100001110,7.130030146563513e-07
1100001111,5.2073179867171126e-09
1100010000,4.7304663633755374e-07
1100010001,1.3628341938255743e-11
1100010010,7.558820007475932e-10
1100010011,5.520478675992364e-12
1100010100,1.5439019404003595e-10
1100010101,4.4479385216256835e-15
1100010110,3.8114128860628757e-10
1100010111,2.7836121963616705e-12
1100011000,2.1871599598326673e-07
1100011001,6.301146972957547e-12
